timestamp,hour,day,month,aqi,pm2_5,pm10,co,no,no2,o3,so2,nh3,temp,humidity,pressure,wind_speed,wind_deg,clouds,visibility,aqi_change_rate
2026-05-24 11:34:40,11,6,5,4,32.15,137.07,100.54,0.05,0.5,87.6,1.89,1.42,48.58,6,998,5.63,265,2,10000,
2026-05-24 11:39:46,11,6,5,4,32.15,137.07,100.54,0.05,0.5,87.6,1.89,1.42,48.58,6,998,5.63,265,2,10000,0.0
2026-05-24 11:54:02,11,6,5,4,32.15,137.07,100.54,0.05,0.5,87.6,1.89,1.42,48.58,6,998,5.17,270,2,10000,0.0
2026-05-25 07:55:51,7,0,5,4,15.22,54.44,105.46,0.07,0.49,140.01,1.37,2.66,46.08,6,1001,3.23,227,0,10000,0.0
